Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
EPICC_RE0010B_T2_B1_Q2	0.006577267	0	0.002590243	0	0.197633616	0.235725339	0.027385764	0	0	0	0.219917066	0	0.078337257	0.15899969	0	0	0	0.006559872	0	0.153079537	0	0.063987855	0.46	0.014499596	1.150793506
EPICC_RE0010B_T3_B1_Q1	0	0.055332902	0	0	0.280415597	0.148510262	0.059779735	0	0	0	0.192896947	0	0.083216552	0.241627277	0.022324061	0	0	0	0	0.03901807	0	0	0.19	0.059467643	1.123121403
EPICC_RE0010C_T1_B1_Q1	0	0.02013899	0	0.25752325	0	1.120015494	0.080680639	0	0	0	0.090733379	0	0.061612681	0.732279635	0.178038938	0.141170145	0	0	0.154093027	0	0	0.129475264	0.46	0.016758881	2.965761442
EPICC_RE0011A_T1_B1_Q1	0.031486792	0	0.0006	0	0.24145342	0.332517987	0	0	0	0	0.061103462	0	0.007244683	0.139814261	0.1140632	0.025937227	0	0	0.15080895	0	0	0.007491514	0.51	0.013274048	1.112503129
EPICC_RE0011A_T3_B1_Q1	0.026072971	0	0	0	0	0.545173418	0	0	0	0	0.06216428	0	0.01522257	0.115399383	0.018917002	0.0004	0	0	0.044720727	0.029702434	0	0.040282001	0.61	0.004943827	0.898021202
EPICC_RE0011B_T1_B1_Q1	0	0.120858144	0	0	0.234375403	0.80478034	0.104011868	0	0	0	0.212621957	0	0.27310258	0.023714254	0.156437053	0	0.037779162	0.013626034	0.324751695	0	0	0.27304856	0.25	0.040124002	2.579107049
EPICC_RE0011B_T2_B1_Q1	0.08065937	0	0.027567548	0	0.285475892	0.553323343	0.124520459	0	0	0	0.183152396	0	0.092529249	0.259834148	0.049903898	0	0	0	0	0.082817496	0	0.044953518	0.18	0.060530932	1.784737317
EPICC_RE0011B_T3_B1_Q1	0.043175364	0	0.001691219	0.00478982	0.048530555	0.468142827	0	0	0	0	0.108778761	0	0.138387732	0.14718013	0.059759319	0	0	0	0.031775843	0.045549083	0	0.011162118	0.27	0.036152694	1.10892277
EPICC_RE0011C_T1_B1_Q1	0	0.202412237	0	0.385168007	0.21101081	0.91592979	0.030871223	0	0	0	0.087987703	0	0.048722603	1.371618784	0.019664464	0.060245245	0	0	0.38441826	0	0	0.070849862	0.11	0.075854285	3.78889899
EPICC_RE0012A_T2_B1_Q1	0.099116631	0	0	0	0.066823974	0.202045225	0.076505308	0	0	0	0.134767886	0	0	0.32759613	0.003573876	0	0	0	0	0.02958144	0	0.049883109	0.02	0.117629582	0.98989358
